ENV:CMS/, 2017-09-29 15:57:07, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:57:07, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:57:08, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:57:08, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:57:08, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:57:08, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:58:11, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:58:11, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:58:11, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:58:11, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:58:11, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
ENV:CMS/, 2017-09-29 15:58:11, 0, MSG:Invalid DBO path /opt/lampp/htdocs/kas.loc/Admin/Core/Classes/DBO, LINE:171, FILE:/opt/lampp/htdocs/kas.loc/Admin/Core/Classes/Generator/DBOGenerator.php
